test_id,wall_clock,alpha_bravo_dist,bravo_charlie_dist,alpha_charlie_dist,formation_type
TEST-01-PATROL,1775088134.362,97.4,274.0,369.2,echelon
TEST-01-PATROL,1775088134.616,97.4,273.8,369.1,echelon
TEST-01-PATROL,1775088134.867,97.4,273.6,368.9,echelon
TEST-01-PATROL,1775088135.120,97.4,273.3,368.8,echelon
TEST-01-PATROL,1775088135.375,97.4,273.1,368.6,echelon
TEST-01-PATROL,1775088135.629,97.4,272.9,368.5,echelon
TEST-01-PATROL,1775088135.881,97.4,272.7,368.3,echelon
TEST-01-PATROL,1775088136.136,97.4,272.5,368.2,echelon
TEST-01-PATROL,1775088136.391,97.4,272.2,368.0,echelon
TEST-01-PATROL,1775088136.642,97.4,272.0,367.9,echelon
TEST-01-PATROL,1775088136.894,97.4,271.8,367.7,echelon
TEST-01-PATROL,1775088137.149,97.4,271.6,367.6,echelon
TEST-01-PATROL,1775088137.402,97.4,271.4,367.4,echelon
TEST-01-PATROL,1775088137.656,97.4,271.2,367.3,echelon
TEST-01-PATROL,1775088137.908,97.4,271.0,367.1,echelon
TEST-01-PATROL,1775088138.159,97.3,270.8,367.0,echelon
TEST-01-PATROL,1775088138.413,97.3,270.6,366.8,echelon
TEST-01-PATROL,1775088138.666,97.3,270.4,366.7,echelon
TEST-01-PATROL,1775088138.920,97.3,270.2,366.5,echelon
TEST-01-PATROL,1775088139.175,97.3,270.0,366.4,echelon
TEST-01-PATROL,1775088139.424,97.3,269.8,366.3,echelon
TEST-01-PATROL,1775088139.680,97.3,269.6,366.1,echelon
TEST-01-PATROL,1775088139.933,97.3,269.5,366.0,echelon
TEST-01-PATROL,1775088140.186,97.3,269.3,365.9,echelon
TEST-01-PATROL,1775088140.437,97.3,269.1,365.7,echelon
TEST-01-PATROL,1775088140.691,97.3,269.0,365.6,echelon
TEST-01-PATROL,1775088140.946,97.3,268.8,365.5,echelon
TEST-01-PATROL,1775088141.197,97.3,268.7,365.3,echelon
TEST-01-PATROL,1775088141.452,97.3,268.5,365.2,echelon
TEST-01-PATROL,1775088141.705,97.2,268.3,365.1,echelon
TEST-01-PATROL,1775088141.959,97.2,268.2,365.0,echelon
TEST-01-PATROL,1775088142.213,97.2,268.0,364.8,echelon
TEST-01-PATROL,1775088142.466,97.2,267.9,364.7,echelon
TEST-01-PATROL,1775088142.719,97.2,267.8,364.6,echelon
TEST-01-PATROL,1775088142.974,97.2,267.6,364.5,echelon
TEST-01-PATROL,1775088143.226,97.2,267.5,364.4,echelon
TEST-01-PATROL,1775088143.479,97.2,267.3,364.3,echelon
TEST-01-PATROL,1775088143.733,97.2,267.2,364.1,echelon
TEST-01-PATROL,1775088143.986,97.2,267.1,364.0,echelon
TEST-01-PATROL,1775088144.243,97.2,266.9,363.9,echelon
TEST-01-PATROL,1775088144.496,97.3,266.8,363.8,echelon
TEST-01-PATROL,1775088144.749,97.3,266.7,363.7,echelon
TEST-01-PATROL,1775088145.002,97.3,266.6,363.6,echelon
TEST-01-PATROL,1775088145.255,97.3,266.5,363.5,echelon
TEST-01-PATROL,1775088145.508,97.3,266.4,363.5,echelon
TEST-01-PATROL,1775088145.762,97.3,266.2,363.4,echelon
TEST-01-PATROL,1775088146.016,97.3,266.1,363.3,echelon
TEST-01-PATROL,1775088146.269,97.3,266.0,363.2,echelon
TEST-01-PATROL,1775088146.525,97.3,265.9,363.1,echelon
TEST-01-PATROL,1775088146.777,97.3,265.8,363.0,echelon
TEST-01-PATROL,1775088147.029,97.3,265.7,362.9,echelon
TEST-01-PATROL,1775088147.280,97.3,265.6,362.8,echelon
TEST-01-PATROL,1775088147.533,97.3,265.5,362.7,echelon
TEST-01-PATROL,1775088147.787,97.3,265.4,362.6,echelon
TEST-01-PATROL,1775088148.041,97.3,265.3,362.6,echelon
TEST-01-PATROL,1775088148.294,97.3,262.6,359.8,echelon
TEST-01-PATROL,1775088148.548,97.3,259.9,357.1,echelon
TEST-01-PATROL,1775088148.801,97.3,257.2,354.4,echelon
TEST-01-PATROL,1775088149.056,97.3,254.5,351.7,echelon
TEST-01-PATROL,1775088149.309,97.3,251.8,349.0,echelon
TEST-01-PATROL,1775088149.562,97.3,249.1,346.4,echelon
TEST-01-PATROL,1775088149.817,97.3,246.5,343.7,echelon
TEST-01-PATROL,1775088150.070,97.3,243.9,341.1,echelon
TEST-01-PATROL,1775088150.323,97.3,241.3,338.6,echelon
TEST-01-PATROL,1775088150.578,97.3,238.8,336.0,echelon
TEST-01-PATROL,1775088150.831,97.3,236.2,333.5,echelon
TEST-01-PATROL,1775088151.084,97.3,233.8,331.0,echelon
TEST-01-PATROL,1775088151.338,97.3,231.3,328.6,echelon
TEST-01-PATROL,1775088151.593,97.3,228.9,326.2,echelon
TEST-01-PATROL,1775088151.845,97.3,226.6,323.8,echelon
TEST-01-PATROL,1775088152.099,97.3,224.2,321.5,echelon
TEST-01-PATROL,1775088152.352,97.3,221.9,319.2,echelon
TEST-01-PATROL,1775088152.602,97.3,219.6,316.8,echelon
TEST-01-PATROL,1775088152.857,97.3,217.3,314.5,echelon
TEST-01-PATROL,1775088153.110,97.3,215.0,312.2,echelon
TEST-01-PATROL,1775088153.360,97.3,212.7,309.9,echelon
TEST-01-PATROL,1775088153.614,97.3,210.4,307.6,echelon
TEST-01-PATROL,1775088153.866,97.4,208.1,305.2,echelon
TEST-01-PATROL,1775088154.120,97.4,205.7,302.7,echelon
TEST-01-PATROL,1775088154.375,97.4,203.3,300.2,echelon
TEST-01-PATROL,1775088154.628,97.4,200.9,297.7,echelon
TEST-01-PATROL,1775088154.881,97.4,198.4,295.0,echelon
TEST-01-PATROL,1775088155.136,97.4,195.8,292.2,echelon
TEST-01-PATROL,1775088155.390,97.4,193.1,289.3,echelon
TEST-01-PATROL,1775088155.642,97.4,190.3,286.3,echelon
TEST-01-PATROL,1775088155.896,97.4,187.4,283.1,echelon
TEST-01-PATROL,1775088156.149,97.4,184.4,279.7,echelon
TEST-01-PATROL,1775088156.399,97.4,181.3,276.2,echelon
TEST-01-PATROL,1775088156.655,97.4,178.1,272.4,echelon
TEST-01-PATROL,1775088156.907,97.4,174.7,268.4,echelon
TEST-01-PATROL,1775088157.159,97.4,171.2,264.1,echelon
TEST-01-PATROL,1775088157.412,97.4,167.6,259.7,echelon
TEST-01-PATROL,1775088157.667,97.3,163.9,254.9,echelon
TEST-01-PATROL,1775088157.920,97.3,160.1,250.0,echelon
TEST-01-PATROL,1775088158.174,97.3,156.3,244.8,echelon
TEST-01-PATROL,1775088158.426,97.3,152.5,239.4,echelon
TEST-01-PATROL,1775088158.678,97.3,148.8,233.9,echelon
TEST-01-PATROL,1775088158.930,97.3,145.2,228.3,echelon
TEST-01-PATROL,1775088159.183,97.3,141.8,222.6,echelon
TEST-01-PATROL,1775088159.437,97.3,138.7,216.8,echelon
TEST-01-PATROL,1775088159.692,97.3,136.0,211.1,echelon
TEST-01-PATROL,1775088159.945,97.3,133.6,205.4,echelon
TEST-01-PATROL,1775088160.199,97.3,131.7,199.9,echelon
TEST-01-PATROL,1775088160.450,97.3,130.3,194.5,echelon
TEST-01-PATROL,1775088160.703,97.3,129.4,189.3,echelon
TEST-01-PATROL,1775088160.957,96.4,129.5,184.4,echelon
TEST-01-PATROL,1775088161.208,93.9,130.4,179.7,echelon
TEST-01-PATROL,1775088161.459,91.4,131.7,175.4,echelon
TEST-01-PATROL,1775088161.713,88.9,133.3,171.5,echelon
TEST-01-PATROL,1775088161.964,86.4,135.3,168.0,echelon
TEST-01-PATROL,1775088162.218,84.0,137.5,165.0,echelon
TEST-01-PATROL,1775088162.470,81.5,140.0,162.6,echelon
TEST-01-PATROL,1775088162.723,79.1,142.9,160.7,echelon
TEST-01-PATROL,1775088162.980,76.6,146.0,159.4,echelon
TEST-01-PATROL,1775088163.230,74.2,149.4,158.8,echelon
TEST-01-PATROL,1775088163.481,71.8,153.0,158.8,echelon
TEST-01-PATROL,1775088163.735,69.5,156.8,159.5,echelon
TEST-01-PATROL,1775088163.985,67.1,160.9,160.8,echelon
TEST-01-PATROL,1775088164.238,64.8,165.1,162.8,echelon
TEST-01-PATROL,1775088164.491,62.5,169.4,165.4,echelon
TEST-01-PATROL,1775088164.746,60.3,173.9,168.7,echelon
TEST-01-PATROL,1775088164.997,58.1,178.4,172.4,echelon
TEST-01-PATROL,1775088165.252,55.9,183.0,176.7,echelon
TEST-01-PATROL,1775088165.503,53.8,187.6,181.5,echelon
TEST-01-PATROL,1775088165.757,54.2,192.2,186.2,echelon
TEST-01-PATROL,1775088166.008,54.7,196.7,191.2,echelon
TEST-01-PATROL,1775088166.262,55.2,201.2,196.3,echelon
TEST-01-PATROL,1775088166.516,55.7,205.6,201.6,echelon
TEST-01-PATROL,1775088166.768,56.3,209.9,207.0,echelon
TEST-01-PATROL,1775088167.021,56.9,214.0,212.5,echelon
TEST-01-PATROL,1775088167.275,57.6,218.0,218.1,echelon
TEST-01-PATROL,1775088167.527,58.3,221.8,223.7,echelon
TEST-01-PATROL,1775088167.781,59.0,225.3,229.3,echelon
TEST-01-PATROL,1775088168.035,59.8,228.6,234.9,echelon
